0
ELAPSED: 93.84435153007507
wrote to ../../heightmaps/mp_eroded_50000_heightmap1.png
         34583490 function calls (34518688 primitive calls) in 97.285 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1274451   25.422    0.000   26.431    0.000 multiprocessed_erosion.py:36(depositSedimentFancy)
        1   13.056   13.056   93.849   93.849 multiprocessed_erosion.py:225(main)
  1224451   11.472    0.000   53.082    0.000 multiprocessed_erosion.py:140(stepDrop)
  1224451   10.397    0.000   16.156    0.000 multiprocessed_erosion.py:88(localNegativeGradient)
  4897836    9.307    0.000    9.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2448902    6.619    0.000   15.926    0.000 _methods.py:245(_ptp)
  9795608    5.759    0.000    5.759    0.000 multiprocessed_erosion.py:82(getGrid)
    50000    5.417    0.000   80.784    0.002 multiprocessed_erosion.py:186(simulateDropArraydiffs)
  2448902    2.086    0.000   18.012    0.000 fromnumeric.py:2490(ptp)
  2448902    1.105    0.000   20.286    0.000 <__array_function__ internals>:2(ptp)
  1274465    1.009    0.000    1.009    0.000 {built-in method numpy.empty}
2449035/2448938    0.928    0.000   18.941    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  203/176    0.649    0.003    0.657    0.004 {built-in method _imp.create_dynamic}
   100000    0.445    0.000    0.445    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      115    0.358    0.003    0.358    0.003 {method 'get_filename' of 'zipimport.zipimporter' objects}
    50057    0.315    0.000    0.315    0.000 {built-in method numpy.zeros}
        1    0.287    0.287    0.294    0.294 tvtk_doc.py:36(get_tvtk_class_names)
   115/81    0.257    0.002    0.470    0.006 {method 'load_module' of 'zipimport.zipimporter' objects}
  2448902    0.242    0.000    0.242    0.000 fromnumeric.py:2486(_ptp_dispatcher)
   100324    0.202    0.000    0.202    0.000 {built-in method numpy.array}
     6084    0.178    0.000    0.178    0.000 {built-in method nt.stat}
