0
ELAPSED: 12.227121114730835
wrote to ../../heightmaps/mp_eroded_10000_heightmap1.png
         7980032 function calls (7915230 primitive calls) in 15.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.588    2.588   12.233   12.233 multiprocessed_erosion.py:225(main)
   225686    1.976    0.000    4.949    0.000 multiprocessed_erosion.py:140(stepDrop)
   225686    1.649    0.000    2.679    0.000 multiprocessed_erosion.py:88(localNegativeGradient)
   902776    1.621    0.000    1.621    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   451372    1.142    0.000    2.763    0.000 _methods.py:245(_ptp)
  1805488    1.030    0.000    1.030    0.000 multiprocessed_erosion.py:82(getGrid)
    10000    0.941    0.000    9.630    0.001 multiprocessed_erosion.py:186(simulateDropArraydiffs)
  203/176    0.682    0.003    0.690    0.004 {built-in method _imp.create_dynamic}
   451372    0.373    0.000    3.136    0.000 fromnumeric.py:2490(ptp)
      115    0.341    0.003    0.341    0.003 {method 'get_filename' of 'zipimport.zipimporter' objects}
   235686    0.303    0.000    0.303    0.000 multiprocessed_erosion.py:17(depositSediment)
        1    0.288    0.288    0.295    0.295 tvtk_doc.py:36(get_tvtk_class_names)
   115/81    0.246    0.002    0.450    0.006 {method 'load_module' of 'zipimport.zipimporter' objects}
   451372    0.188    0.000    3.534    0.000 <__array_function__ internals>:2(ptp)
     6084    0.174    0.000    0.174    0.000 {built-in method nt.stat}
451505/451408    0.166    0.000    3.304    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      966    0.162    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.123    0.123    0.236    0.236 init.py:13(<module>)
    20000    0.086    0.000    0.086    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      651    0.076    0.000    0.282    0.000 has_traits.py:371(update_traits_class_dict)
      966    0.069    0.000    0.069    0.000 {built-in method marshal.loads}
    10057    0.062    0.000    0.062    0.000 {built-in method numpy.zeros}
      121    0.058    0.000    0.058    0.000 {built-in method io.open}
135438/117428    0.045    0.000    0.064    0.000 {built-in method builtins.getattr}
   451372    0.044    0.000    0.044    0.000 fromnumeric.py:2486(_ptp_dispatcher)
    20324    0.040    0.000    0.040    0.000 {built-in method numpy.array}
      966    0.027    0.000    0.027    0.000 {method 'read' of '_io.FileIO' objects}
      423    0.026    0.000    0.026    0.000 {built-in method nt.listdir}
    47643    0.025    0.000    0.053    0.000 has_traits.py:153(_get_def)
2511/2017    0.021    0.000    1.524    0.001 {built-in method builtins.__build_class__}
     2672    0.020    0.000    0.034    0.000 inspect.py:613(cleandoc)
      856    0.020    0.000    0.020    0.000 {built-in method nt._isdir}
   192861    0.020    0.000    0.022    0.000 {built-in method builtins.isinstance}
44003/43907    0.016    0.000    0.023    0.000 {built-in method builtins.hasattr}
     3261    0.015    0.000    0.052    0.000 trait_type.py:359(as_ctrait)
     1767    0.014    0.000    0.126    0.000 has_traits.py:2263(on_trait_change)
     2282    0.014    0.000    0.181    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     8755    0.014    0.000    0.014    0.000 {built-in method __new__ of type object at 0x00007FFF945D79A0}
    14600    0.013    0.000    0.031    0.000 {method 'format' of 'str' objects}
   119315    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
  996/293    0.013    0.000    0.035    0.000 sre_parse.py:475(_parse)
  8333/87    0.012    0.000    0.043    0.000 pyparsing.py:1370(_parseNoCache)
12762/12760    0.012    0.000    0.088    0.000 trait_converters.py:43(as_ctrait)
    20000    0.011    0.000    0.011    0.000 {numpy.random.mtrand.ranf}
      115    0.011    0.000    0.011    0.000 {method 'copy' of 'numpy.ndarray' objects}
      405    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
2934/2112    0.011    0.000    0.056    0.000 traits_listener.py:289(register)
167620/165671    0.011    0.000    0.011    0.000 {built-in method builtins.len}
     2077    0.010    0.000    0.027    0.000 inspect.py:2117(_signature_from_function)
      107    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1263    0.009    0.000    0.009    0.000 {method 'split' of 're.Pattern' objects}
     4295    0.009    0.000    0.019    0.000 has_traits.py:2101(_on_trait_change)
      595    0.009    0.000    0.013    0.000 textwrap.py:233(_wrap_chunks)
    16844    0.008    0.000    0.011    0.000 trait_type.py:444(__getattr__)
     5585    0.007    0.000    0.007    0.000 trait_notifiers.py:412(init)
1452/1451    0.007    0.000    0.532    0.000 <frozen importlib._bootstrap>:882(_find_spec)
   1472/6    0.007    0.000    3.407    0.568 <frozen importlib._bootstrap>:978(_find_and_load)
    78652    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      966    0.006    0.000    0.307    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     8851    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
2236/2106    0.006    0.000    0.039    0.000 inspect.py:2198(_signature_from_callable)
 1763/266    0.006    0.000    0.015    0.000 sre_compile.py:71(_compile)
18705/18683    0.006    0.000    0.013    0.000 {built-in method builtins.setattr}
    11706    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
9307/8043    0.006    0.000    0.033    0.000 trait_notifiers.py:325(__call__)
     5245    0.006    0.000    0.008    0.000 ntpath.py:122(splitdrive)
      651    0.006    0.000    0.013    0.000 view_element.py:185(_repr_options)
    11706    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
22528/22520    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
       16    0.005    0.000    0.006    0.000 cycler.py:529(_cycler)
    19864    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
  202/192    0.005    0.000    0.032    0.000 {built-in method _imp.exec_dynamic}
     5076    0.005    0.000    0.009    0.000 inspect.py:2467(__init__)
     4669    0.005    0.000    0.008    0.000 has_traits.py:289(_add_notifiers)
     2664    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     2271    0.005    0.000    0.007    0.000 inspect.py:2750(__init__)
     1316    0.005    0.000    0.012    0.000 traits_listener.py:1064(parse_item)
12070/12068    0.005    0.000    0.087    0.000 trait_converters.py:71(check_trait)
    31895    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     1732    0.005    0.000    0.032    0.000 traits_listener.py:1012(__init__)
4382/4260    0.004    0.000    0.007    0.000 pyparsing.py:372(__init__)
     1414    0.004    0.000    0.012    0.000 version.py:198(__init__)
     4889    0.004    0.000    0.006    0.000 has_traits.py:130(_clone_trait)
